n_users,n_items,n_inter,sparsity,kg_entities,kg_relations,kg_triples,kg_items,cpu_cores,ram_size,is_gpu,model_name,model_type,emissions
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,NGCF,general,0.028634033941733
19841,38932,667850,0.9991354130849345,47308,5,43559,816701,4,27.40580368041992,1.0,RippleNet,knowledge,0.0188293212293259
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,BPR,general,0.0058929369021405
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,CFKG,knowledge,0.0044108166490797
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,CKE,knowledge,0.0038862071824239
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,DMF,general,0.0092369859367674
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,ItemKNN,general,0.0027870159540074
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,KGNNLS,knowledge,0.0112201584202284
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,LINE,general,0.0061328005602579
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,LightGCN,general,0.0114186758021715
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,MultiDAE,general,0.0109253522958754
22155,54458,1465871,0.9987850390735069,26315,16,96476,11446,4,27.40581512451172,1.0,SpectralCF,general,0.0188609790246724
23679,4414,1048575,0.9899676237184807,0,0,0,0,4,27.40581512451172,1.0,BPR,general,0.0041618573394687
23679,4414,1048575,0.9899676237184807,0,0,0,0,4,27.40581512451172,1.0,DMF,general,0.0064116293833459
23679,4414,1048575,0.9899676237184807,0,0,0,0,4,27.40581512451172,1.0,FISM,general,0.0074694619856663
23679,4414,1048575,0.9899676237184807,0,0,0,0,4,27.40581512451172,1.0,ItemKNN,general,0.0018450154117831
23679,4414,1048575,0.9899676237184807,0,0,0,0,4,27.40581512451172,1.0,LINE,general,0.0042534107400712
23679,4414,1048575,0.9899676237184807,0,0,0,0,4,27.40581512451172,1.0,LightGCN,general,0.0064174894137765
23679,4414,1048575,0.9899676237184807,0,0,0,0,4,27.40581512451172,1.0,MultiDAE,general,0.0048342699904592
23679,4414,1048575,0.9899676237184807,0,0,0,0,4,27.40581512451172,1.0,SpectralCF,general,0.0098821919181708
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,BPR,general,0.0461818839633063
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,CFKG,knowledge,0.0477552331907504
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,CKE,knowledge,0.0892782997452281
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,DMF,general,0.0441614840268676
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,ItemKNN,general,0.0062963690770045
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,KGCN,knowledge,0.1170922317186383
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,KGNNLS,knowledge,0.2884446531193582
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,LINE,general,0.0238154082688136
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,LightGCN,general,1.080810685313301
50000,10000,7053774,0.985892452,175646,31,521125,10601,4,27.40580368041992,1.0,MultiDAE,general,0.0612132356047295
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,BPR,general,0.0011872896418289
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,CFKG,knowledge,0.0016808880077835
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,CKE,knowledge,0.0020655061053556
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,DMF,general,0.001998107935524
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,FISM,general,0.0073960062726063
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,ItemKNN,general,0.0005498357575532
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,KGNNLS,knowledge,0.0031229942131827
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,LINE,general,0.0012333895610152
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,LightGCN,general,0.0032779082178161
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,MultiDAE,general,0.0012502482765198
6040,3706,1000209,0.9553163743776871,79347,49,385923,3655,4,27.40581512451172,1.0,SpectralCF,general,0.0056326506480432
